[2026-01-26 20:02:01] 변환 완료: data/samsung_data/swi\VK592.nii → data/output_images/swi
[2026-01-26 20:02:01] 변환 완료: data/samsung_data/swi\VK594.nii → data/output_images/swi
[2026-01-26 20:02:02] 변환 완료: data/samsung_data/swi\VK596.nii → data/output_images/swi
[2026-01-26 20:02:02] 변환 완료: data/samsung_data/swi\VK598.nii → data/output_images/swi
[2026-01-26 20:02:03] 변환 완료: data/samsung_data/swi\VK600.nii → data/output_images/swi
[2026-01-26 20:02:03] 변환 완료: data/samsung_data/swi\VK603.nii → data/output_images/swi
[2026-01-26 20:02:03] 변환 완료: data/samsung_data/swi\VK608.nii → data/output_images/swi
[2026-01-26 20:02:04] 변환 완료: data/samsung_data/swi\VK609.nii → data/output_images/swi
[2026-01-26 20:02:04] 변환 완료: data/samsung_data/swi\VK610.nii → data/output_images/swi
[2026-01-26 20:02:05] 변환 완료: data/samsung_data/swi\VK615.nii → data/output_images/swi
[2026-01-26 20:02:05] 변환 완료: data/samsung_data/swi\VK617.nii → data/output_images/swi
[2026-01-26 20:02:06] 변환 완료: data/samsung_data/swi\VK625.nii → data/output_images/swi
[2026-01-26 20:02:06] 변환 완료: data/samsung_data/swi\VK626.nii → data/output_images/swi
[2026-01-26 20:02:07] 변환 완료: data/samsung_data/swi\VK627.nii → data/output_images/swi
[2026-01-26 20:02:07] 변환 완료: data/samsung_data/swi\VK635.nii → data/output_images/swi
[2026-01-26 20:02:07] 변환 완료: data/samsung_data/swi\VK639.nii → data/output_images/swi
[2026-01-26 20:02:08] 변환 완료: data/samsung_data/swi\VK640.nii → data/output_images/swi
[2026-01-26 20:02:08] 변환 완료: data/samsung_data/swi\VK643.nii → data/output_images/swi
[2026-01-26 20:02:09] 변환 완료: data/samsung_data/swi\VK644.nii → data/output_images/swi
[2026-01-26 20:02:09] 변환 완료: data/samsung_data/swi\VK650.nii → data/output_images/swi
[2026-01-26 20:02:10] 변환 완료: data/samsung_data/swi\VK651.nii → data/output_images/swi
[2026-01-26 20:02:10] 변환 완료: data/samsung_data/swi\VK652.nii → data/output_images/swi
[2026-01-26 20:02:10] 변환 완료: data/samsung_data/roi\VK001.nii → data/output_images/roi
[2026-01-26 20:02:10] 변환 완료: data/samsung_data/roi\VK002.nii → data/output_images/roi
[2026-01-26 20:02:11] 변환 완료: data/samsung_data/roi\VK003.nii → data/output_images/roi
[2026-01-26 20:02:11] 변환 완료: data/samsung_data/roi\VK004.nii → data/output_images/roi
[2026-01-26 20:02:11] 변환 완료: data/samsung_data/roi\VK005.nii → data/output_images/roi
[2026-01-26 20:02:11] 변환 완료: data/samsung_data/roi\VK006.nii → data/output_images/roi
[2026-01-26 20:02:11] 변환 완료: data/samsung_data/roi\VK007.nii → data/output_images/roi
[2026-01-26 20:02:11] 변환 완료: data/samsung_data/roi\VK008.nii → data/output_images/roi
[2026-01-26 20:02:11] 변환 완료: data/samsung_data/roi\VK009.nii → data/output_images/roi
[2026-01-26 20:02:11] 변환 완료: data/samsung_data/roi\VK010.nii → data/output_images/roi
[2026-01-26 20:02:12] 변환 완료: data/samsung_data/roi\VK012.nii → data/output_images/roi
[2026-01-26 20:02:12] 변환 완료: data/samsung_data/roi\VK013.nii → data/output_images/roi
[2026-01-26 20:02:12] 변환 완료: data/samsung_data/roi\VK014.nii → data/output_images/roi
[2026-01-26 20:02:12] 변환 완료: data/samsung_data/roi\VK015.nii → data/output_images/roi
